Gateway-192.168.1.1
NET DNS 1-189.6.0.176
NET DNS 2-189.6.0.184
Vivo DNS 1-200.175.5.139
Vivo DNS 2-200.175.89.139
Vivo DNS 3-200.175.182.139
CloudFlare DNS 1-1.1.1.1
CloudFlare DNS 2-1.0.0.1
Google DNS 1-8.8.8.8
Google DNS 2-8.8.4.4
Vivo IPv6 DNS 1-2804:7f4:2002:1005::99
Vivo IPv6 DNS 2-2804:7f4:2002:1005::98
Vivo IPv6 DNS 3-2001:12e0:4004:a080::2
Vivo IPv6 DNS 4-2001:12e0:4004:a080::3
CloudFlare IPv6 DNS 1-2606:4700:4700::1111
CloudFlare IPv6 DNS 2-2606:4700:4700::1001
Google IPv6 DNS 1-2001:4860:4860::8888
Google IPv6 DNS 2-2001:4860:4860::8844
NET DNS IPV6 1-2804:14c:6510:672:189:6:0:185
NET DNS IPV6 2-2804:14c:6510:672:189:6:0:177
